,date_implement,policy,metric_change,state
10,2021-01-05,H3_Contact tracing,1.0,New York
11,2021-05-17,H6_Facial Coverings,-1.0,New York
12,2021-05-19,H6_Facial Coverings,1.0,New York
13,2021-02-15,H7_Vaccination policy,1.0,New York
14,2021-05-17,H7_Vaccination policy,-1.0,New York
0,2021-06-02,C1_School closing,-1.0,Ohio
1,2021-06-02,C2_Workplace closing,-1.0,Ohio
2,2021-08-15,C3_Cancel public events,-1.0,Ohio
3,2021-06-02,C4_Restrictions on gatherings,-4.0,Ohio
4,2021-02-11,C6_Stay at home requirements,-1.0,Ohio
5,2021-11-08,C8_International travel controls,-2.0,Ohio
6,2021-06-02,H6_Facial Coverings,-1.0,Ohio
7,2021-01-25,H7_Vaccination policy,1.0,Ohio
8,2021-02-11,H7_Vaccination policy,-1.0,Ohio
9,2021-03-29,H7_Vaccination policy,2.0,Ohio
0,2021-07-06,C1_School closing,-1.0,Oklahoma
1,2021-09-16,C2_Workplace closing,-1.0,Oklahoma
2,2021-10-12,C2_Workplace closing,1.0,Oklahoma
3,2021-05-01,C4_Restrictions on gatherings,1.0,Oklahoma
4,2021-05-21,C4_Restrictions on gatherings,-1.0,Oklahoma
5,2021-09-16,C5_Close public transport,-1.0,Oklahoma
6,2021-10-12,C5_Close public transport,1.0,Oklahoma
7,2021-09-16,C6_Stay at home requirements,-1.0,Oklahoma
8,2021-11-08,C8_International travel controls,-2.0,Oklahoma
9,2021-05-18,H3_Contact tracing,1.0,Oklahoma
10,2021-04-30,H6_Facial Coverings,-1.0,Oklahoma
11,2021-02-22,H7_Vaccination policy,1.0,Oklahoma
12,2021-03-29,H7_Vaccination policy,2.0,Oklahoma
0,2021-04-12,C1_School closing,-1.0,Oregon
1,2021-07-23,C1_School closing,1.0,Oregon
2,2021-04-06,C2_Workplace closing,-1.0,Oregon
3,2021-04-30,C2_Workplace closing,1.0,Oregon
4,2021-04-30,C3_Cancel public events,-1.0,Oregon
5,2021-06-30,C4_Restrictions on gatherings,-4.0,Oregon
6,2021-06-14,C5_Close public transport,1.0,Oregon
7,2021-07-23,C5_Close public transport,-1.0,Oregon
8,2021-07-12,C6_Stay at home requirements,-1.0,Oregon
9,2021-11-08,C8_International travel controls,-2.0,Oregon
10,2021-05-15,H2_Testing policy,1.0,Oregon
11,2021-05-15,H3_Contact tracing,1.0,Oregon
12,2021-07-25,H3_Contact tracing,-1.0,Oregon
13,2021-05-18,H6_Facial Coverings,-1.0,Oregon
14,2021-01-08,H7_Vaccination policy,1.0,Oregon
15,2021-04-19,H7_Vaccination policy,2.0,Oregon
0,2021-06-13,C1_School closing,-2.0,Pennsylvania
1,2021-09-07,C1_School closing,1.0,Pennsylvania
2,2021-01-04,C2_Workplace closing,-1.0,Pennsylvania
3,2021-10-12,C2_Workplace closing,1.0,Pennsylvania
4,2021-08-15,C3_Cancel public events,-1.0,Pennsylvania
5,2021-10-12,C3_Cancel public events,1.0,Pennsylvania
6,2021-01-04,C4_Restrictions on gatherings,-2.0,Pennsylvania
7,2021-05-07,C4_Restrictions on gatherings,3.0,Pennsylvania
8,2021-06-02,C4_Restrictions on gatherings,-3.0,Pennsylvania
9,2021-04-16,C6_Stay at home requirements,-1.0,Pennsylvania
10,2021-03-01,C7_Restrictions on internal movement,-1.0,Pennsylvania
11,2021-11-08,C8_International travel controls,-2.0,Pennsylvania
12,2021-06-13,H6_Facial Coverings,-1.0,Pennsylvania
13,2021-10-12,H6_Facial Coverings,1.0,Pennsylvania
14,2021-01-19,H7_Vaccination policy,1.0,Pennsylvania
15,2021-04-13,H7_Vaccination policy,2.0,Pennsylvania
0,2021-01-19,C1_School closing,-1.0,Rhode Island
1,2021-07-06,C1_School closing,1.0,Rhode Island
2,2021-05-18,C2_Workplace closing,-1.0,Rhode Island
3,2021-10-12,C3_Cancel public events,-1.0,Rhode Island
4,2021-02-05,C4_Restrictions on gatherings,-1.0,Rhode Island
5,2021-06-22,C4_Restrictions on gatherings,-3.0,Rhode Island
6,2021-06-29,C6_Stay at home requirements,-1.0,Rhode Island
7,2021-07-18,C7_Restrictions on internal movement,-1.0,Rhode Island
8,2021-11-08,C8_International travel controls,-2.0,Rhode Island
9,2021-09-13,H3_Contact tracing,-1.0,Rhode Island
10,2021-09-28,H3_Contact tracing,1.0,Rhode Island
11,2021-05-18,H6_Facial Coverings,-1.0,Rhode Island
12,2021-02-18,H7_Vaccination policy,1.0,Rhode Island
13,2021-04-19,H7_Vaccination policy,2.0,Rhode Island
0,2021-03-02,C1_School closing,-1.0,South Carolina
1,2021-08-15,C3_Cancel public events,-1.0,South Carolina
2,2021-04-06,C4_Restrictions on gatherings,-2.0,South Carolina
3,2021-04-02,C6_Stay at home requirements,-1.0,South Carolina
4,2021-11-08,C8_International travel controls,-2.0,South Carolina
5,2021-09-05,H3_Contact tracing,-1.0,South Carolina
6,2021-05-11,H6_Facial Coverings,-1.0,South Carolina
7,2021-01-29,H7_Vaccination policy,1.0,South Carolina
0,2021-01-29,C1_School closing,1.0,South Dakota
1,2021-02-08,C1_School closing,-1.0,South Dakota
2,2021-04-21,C2_Workplace closing,-1.0,South Dakota
3,2021-08-15,C3_Cancel public events,-1.0,South Dakota
4,2021-04-02,C6_Stay at home requirements,-1.0,South Dakota
5,2021-11-08,C8_International travel controls,-2.0,South Dakota
6,2021-03-15,H2_Testing policy,1.0,South Dakota
7,2021-02-22,H7_Vaccination policy,1.0,South Dakota
8,2021-04-05,H7_Vaccination policy,2.0,South Dakota
0,2021-03-08,C1_School closing,-1.0,Tennessee
1,2021-08-30,C1_School closing,1.0,Tennessee
2,2021-10-10,C1_School closing,-2.0,Tennessee
3,2021-06-01,C2_Workplace closing,-2.0,Tennessee
4,2021-01-19,C3_Cancel public events,-1.0,Tennessee
5,2021-04-16,C4_Restrictions on gatherings,-1.0,Tennessee
6,2021-04-27,C4_Restrictions on gatherings,-3.0,Tennessee
7,2021-04-11,C5_Close public transport,-1.0,Tennessee
8,2021-04-02,C6_Stay at home requirements,-1.0,Tennessee
9,2021-11-08,C8_International travel controls,-2.0,Tennessee
10,2021-04-09,H6_Facial Coverings,-1.0,Tennessee
11,2021-03-08,H7_Vaccination policy,1.0,Tennessee
0,2021-05-10,C1_School closing,-1.0,Texas
1,2021-08-11,C1_School closing,1.0,Texas
2,2021-03-10,C2_Workplace closing,-1.0,Texas
3,2021-10-12,C2_Workplace closing,1.0,Texas
4,2021-01-26,C3_Cancel public events,-1.0,Texas
5,2021-08-22,C3_Cancel public events,1.0,Texas
6,2021-05-19,C4_Restrictions on gatherings,-4.0,Texas
7,2021-09-27,C6_Stay at home requirements,-1.0,Texas
8,2021-11-08,C8_International travel controls,-2.0,Texas
9,2021-01-19,H2_Testing policy,-1.0,Texas
10,2021-03-02,H2_Testing policy,2.0,Texas
11,2021-06-15,H2_Testing policy,1.0,Texas
12,2021-07-20,H3_Contact tracing,1.0,Texas
13,2021-08-06,H3_Contact tracing,-1.0,Texas
14,2021-07-29,H6_Facial Coverings,-1.0,Texas
15,2021-01-12,H7_Vaccination policy,1.0,Texas
16,2021-03-29,H7_Vaccination policy,2.0,Texas
0,2021-02-08,C1_School closing,-1.0,Utah
1,2021-08-20,C1_School closing,1.0,Utah
2,2021-08-16,C3_Cancel public events,-1.0,Utah
3,2021-01-05,C4_Restrictions on gatherings,-4.0,Utah
4,2021-03-29,C4_Restrictions on gatherings,3.0,Utah
5,2021-04-03,C4_Restrictions on gatherings,-3.0,Utah
6,2021-04-02,C6_Stay at home requirements,-1.0,Utah
7,2021-11-08,C8_International travel controls,-2.0,Utah
8,2021-07-19,H2_Testing policy,1.0,Utah
9,2021-02-25,H7_Vaccination policy,1.0,Utah
10,2021-03-24,H7_Vaccination policy,2.0,Utah
0,2021-07-07,C1_School closing,-1.0,Virginia
1,2021-05-28,C2_Workplace closing,-1.0,Virginia
2,2021-02-17,C3_Cancel public events,-1.0,Virginia
3,2021-04-01,C4_Restrictions on gatherings,-1.0,Virginia
4,2021-05-28,C4_Restrictions on gatherings,-2.0,Virginia
5,2021-03-01,C6_Stay at home requirements,-1.0,Virginia
6,2021-07-14,C7_Restrictions on internal movement,1.0,Virginia
7,2021-09-01,C7_Restrictions on internal movement,-1.0,Virginia
8,2021-11-08,C8_International travel controls,-2.0,Virginia
9,2021-03-23,H2_Testing policy,-1.0,Virginia
10,2021-04-13,H2_Testing policy,1.0,Virginia
11,2021-02-09,H3_Contact tracing,-1.0,Virginia
12,2021-08-16,H3_Contact tracing,1.0,Virginia
13,2021-02-09,H6_Facial Coverings,-1.0,Virginia
14,2021-04-13,H6_Facial Coverings,1.0,Virginia
15,2021-01-08,H7_Vaccination policy,1.0,Virginia
16,2021-04-18,H7_Vaccination policy,2.0,Virginia
0,2021-06-15,C1_School closing,-2.0,Vermont
1,2021-11-23,C1_School closing,1.0,Vermont
2,2021-03-24,C2_Workplace closing,-1.0,Vermont
3,2021-05-01,C3_Cancel public events,-1.0,Vermont
4,2021-04-05,C4_Restrictions on gatherings,-1.0,Vermont
5,2021-06-09,C4_Restrictions on gatherings,-2.0,Vermont
6,2021-05-11,C6_Stay at home requirements,-1.0,Vermont
7,2021-05-11,C7_Restrictions on internal movement,-1.0,Vermont
8,2021-11-08,C8_International travel controls,-2.0,Vermont
9,2021-05-14,H6_Facial Coverings,-1.0,Vermont
10,2021-03-08,H7_Vaccination policy,1.0,Vermont
0,2021-06-15,C1_School closing,-2.0,Wisconsin
1,2021-08-16,C1_School closing,1.0,Wisconsin
2,2021-06-15,C2_Workplace closing,-1.0,Wisconsin
3,2021-08-15,C3_Cancel public events,-1.0,Wisconsin
4,2021-02-10,C4_Restrictions on gatherings,-1.0,Wisconsin
5,2021-06-02,C4_Restrictions on gatherings,-2.0,Wisconsin
6,2021-06-15,C5_Close public transport,-1.0,Wisconsin
7,2021-06-15,C6_Stay at home requirements,-1.0,Wisconsin
8,2021-01-27,H3_Contact tracing,1.0,Wisconsin
9,2021-06-15,H6_Facial Coverings,-1.0,Wisconsin
10,2021-07-05,H6_Facial Coverings,1.0,Wisconsin
11,2021-03-22,H7_Vaccination policy,1.0,Wisconsin
12,2021-04-05,H7_Vaccination policy,2.0,Wisconsin
0,2021-02-23,C1_School closing,-1.0,West Virginia
1,2021-08-08,C1_School closing,1.0,West Virginia
2,2021-04-21,C2_Workplace closing,-1.0,West Virginia
3,2021-05-01,C3_Cancel public events,-1.0,West Virginia
4,2021-04-19,C4_Restrictions on gatherings,-3.0,West Virginia
5,2021-05-04,C6_Stay at home requirements,-1.0,West Virginia
6,2021-11-08,C8_International travel controls,-2.0,West Virginia
7,2021-05-04,H3_Contact tracing,-1.0,West Virginia
8,2021-04-19,H6_Facial Coverings,-1.0,West Virginia
9,2021-01-07,H7_Vaccination policy,1.0,West Virginia
10,2021-03-22,H7_Vaccination policy,2.0,West Virginia
0,2021-06-01,C1_School closing,-1.0,Wyoming
1,2021-08-30,C1_School closing,1.0,Wyoming
2,2021-04-21,C2_Workplace closing,-1.0,Wyoming
3,2021-08-15,C3_Cancel public events,-1.0,Wyoming
4,2021-02-15,C4_Restrictions on gatherings,-1.0,Wyoming
5,2021-05-21,C4_Restrictions on gatherings,-2.0,Wyoming
6,2021-04-02,C6_Stay at home requirements,-1.0,Wyoming
7,2021-11-08,C8_International travel controls,-2.0,Wyoming
8,2021-01-05,H3_Contact tracing,-1.0,Wyoming
9,2021-01-12,H7_Vaccination policy,1.0,Wyoming
